2015-07-02 13:23:50,894 - logger_manager - INFO - Accuracy: 0.782729805014, Macro_F score: 0.8, Precision: 0.75, Recall: 0.857142857143; Test data size: 359
2015-07-02 13:26:36,042 - logger_manager - INFO - Accuracy: 0.710306406685, Macro_F score: 0.711111111111, Precision: 0.719101123596, Recall: 0.703296703297; Test data size: 359
2015-07-02 13:27:13,461 - logger_manager - INFO - Accuracy: 0.766016713092, Macro_F score: 0.767955801105, Precision: 0.772222222222, Recall: 0.763736263736; Test data size: 359
2015-07-02 13:27:40,913 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.755434782609, Precision: 0.747311827957, Recall: 0.763736263736; Test data size: 359
2015-07-02 13:27:56,877 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.755434782609, Precision: 0.747311827957, Recall: 0.763736263736; Test data size: 359
2015-07-02 13:28:18,035 - logger_manager - INFO - Accuracy: 0.74651810585, Macro_F score: 0.745098039216, Precision: 0.76, Recall: 0.730769230769; Test data size: 359
2015-07-02 13:28:33,115 - logger_manager - INFO - Accuracy: 0.766016713092, Macro_F score: 0.767955801105, Precision: 0.772222222222, Recall: 0.763736263736; Test data size: 359
2015-07-02 13:28:46,093 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.759002770083, Precision: 0.765363128492, Recall: 0.752747252747; Test data size: 359
2015-07-02 13:29:10,175 - logger_manager - INFO - Accuracy: 0.766016713092, Macro_F score: 0.767955801105, Precision: 0.772222222222, Recall: 0.763736263736; Test data size: 359
2015-07-02 15:46:26,191 - logger_manager - INFO - Accuracy: 0.699164345404, Macro_F score: 0.682352941176, Precision: 0.73417721519, Recall: 0.637362637363; Test data size: 359
2015-07-02 15:54:53,822 - logger_manager - INFO - Accuracy: 0.715877437326, Macro_F score: 0.71186440678, Precision: 0.732558139535, Recall: 0.692307692308; Test data size: 359
2015-07-02 16:05:28,012 - logger_manager - INFO - Accuracy: 0.710306406685, Macro_F score: 0.709497206704, Precision: 0.721590909091, Recall: 0.697802197802; Test data size: 359
2015-07-02 16:06:29,549 - logger_manager - INFO - Accuracy: 0.688022284123, Macro_F score: 0.666666666667, Precision: 0.727272727273, Recall: 0.615384615385; Test data size: 359
2015-07-02 16:07:45,140 - logger_manager - INFO - Accuracy: 0.710306406685, Macro_F score: 0.686746987952, Precision: 0.76, Recall: 0.626373626374; Test data size: 359
2015-07-02 16:09:22,138 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 16:10:48,404 - logger_manager - INFO - Accuracy: 0.729805013928, Macro_F score: 0.732782369146, Precision: 0.734806629834, Recall: 0.730769230769; Test data size: 359
2015-07-02 16:13:32,237 - logger_manager - INFO - Accuracy: 0.721448467967, Macro_F score: 0.714285714286, Precision: 0.744047619048, Recall: 0.686813186813; Test data size: 359
2015-07-02 16:18:10,395 - logger_manager - INFO - Accuracy: 0.727019498607, Macro_F score: 0.721590909091, Precision: 0.747058823529, Recall: 0.697802197802; Test data size: 359
2015-07-02 16:19:12,056 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 16:20:42,324 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 16:21:16,962 - logger_manager - INFO - Accuracy: 0.729805013928, Macro_F score: 0.732782369146, Precision: 0.734806629834, Recall: 0.730769230769; Test data size: 359
2015-07-02 16:22:07,210 - logger_manager - INFO - Accuracy: 0.690807799443, Macro_F score: 0.73381294964, Precision: 0.651063829787, Recall: 0.840659340659; Test data size: 359
2015-07-02 16:22:30,277 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.754098360656, Precision: 0.75, Recall: 0.758241758242; Test data size: 359
2015-07-02 16:35:55,045 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 16:40:26,131 - logger_manager - INFO - Accuracy: 0.74651810585, Macro_F score: 0.747922437673, Precision: 0.754189944134, Recall: 0.741758241758; Test data size: 359
2015-07-02 16:52:24,229 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 19:26:54,128 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 19:28:42,058 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 19:35:30,072 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 19:40:21,957 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 19:48:06,390 - logger_manager - INFO - Accuracy: 0.721448467967, Macro_F score: 0.734042553191, Precision: 0.711340206186, Recall: 0.758241758242; Test data size: 359
2015-07-02 19:48:29,791 - logger_manager - INFO - Accuracy: 0.607242339833, Macro_F score: 0.607242339833, Precision: 0.61581920904, Recall: 0.598901098901; Test data size: 359
2015-07-02 19:48:52,227 - logger_manager - INFO - Accuracy: 0.727019498607, Macro_F score: 0.743455497382, Precision: 0.71, Recall: 0.78021978022; Test data size: 359
2015-07-02 19:49:10,253 - logger_manager - INFO - Accuracy: 0.757660167131, Macro_F score: 0.760330578512, Precision: 0.762430939227, Recall: 0.758241758242; Test data size: 359
2015-07-02 20:20:54,637 - logger_manager - INFO - Accuracy: 0.75208913649, Macro_F score: 0.756164383562, Precision: 0.754098360656, Recall: 0.758241758242; Test data size: 359
2015-07-08 01:14:48,079 - logger_manager - INFO - Accuracy: 0.74930362117, Macro_F score: 0.752747252747, Precision: 0.752747252747, Recall: 0.752747252747; Test data size: 359
2015-07-08 01:16:16,290 - logger_manager - INFO - Accuracy: 0.740947075209, Macro_F score: 0.715596330275, Precision: 0.806896551724, Recall: 0.642857142857; Test data size: 359
2015-07-08 01:24:03,687 - logger_manager - INFO - Accuracy: 0.715877437326, Macro_F score: 0.715083798883, Precision: 0.727272727273, Recall: 0.703296703297; Test data size: 359
2015-07-08 01:24:47,904 - logger_manager - INFO - Accuracy: 0.721448467967, Macro_F score: 0.715909090909, Precision: 0.741176470588, Recall: 0.692307692308; Test data size: 359
2015-07-08 01:27:10,176 - logger_manager - INFO - Accuracy: 0.57938718663, Macro_F score: 0.546546546547, Precision: 0.602649006623, Recall: 0.5; Test data size: 359
2015-07-08 01:28:26,987 - logger_manager - INFO - Accuracy: 0.696378830084, Macro_F score: 0.70460704607, Precision: 0.695187165775, Recall: 0.714285714286; Test data size: 359
2015-07-08 01:30:46,830 - logger_manager - INFO - Accuracy: 0.696378830084, Macro_F score: 0.70460704607, Precision: 0.695187165775, Recall: 0.714285714286; Test data size: 359
2015-07-08 01:42:56,313 - logger_manager - INFO - Accuracy: 0.766016713092, Macro_F score: 0.78125, Precision: 0.742574257426, Recall: 0.824175824176; Test data size: 359
2015-07-08 01:43:28,792 - logger_manager - INFO - Accuracy: 0.727019498607, Macro_F score: 0.737967914439, Precision: 0.71875, Recall: 0.758241758242; Test data size: 359
2015-07-08 13:56:26,090 - logger_manager - INFO - Accuracy: 0.696378830084, Macro_F score: 0.70460704607, Precision: 0.695187165775, Recall: 0.714285714286; Test data size: 359
2015-07-08 13:59:18,566 - logger_manager - INFO - Accuracy: 0.777158774373, Macro_F score: 0.787234042553, Precision: 0.762886597938, Recall: 0.813186813187; Test data size: 359
2015-07-08 15:20:00,576 - logger_manager - INFO - Accuracy: 0.777158774373, Macro_F score: 0.787234042553, Precision: 0.762886597938, Recall: 0.813186813187; Test data size: 359
2015-07-08 16:43:23,267 - logger_manager - INFO - Accuracy: 0.623955431755, Macro_F score: 0.594594594595, Precision: 0.655629139073, Recall: 0.543956043956; Test data size: 359
2015-07-08 16:48:16,946 - logger_manager - INFO - Accuracy: 0.623955431755, Macro_F score: 0.594594594595, Precision: 0.655629139073, Recall: 0.543956043956; Test data size: 359
2015-07-08 16:49:17,135 - logger_manager - INFO - Accuracy: 0.623955431755, Macro_F score: 0.594594594595, Precision: 0.655629139073, Recall: 0.543956043956; Test data size: 359
2015-07-08 16:50:06,142 - logger_manager - INFO - Accuracy: 0.623955431755, Macro_F score: 0.594594594595, Precision: 0.655629139073, Recall: 0.543956043956; Test data size: 359
2015-07-08 16:51:11,763 - logger_manager - INFO - Accuracy: 0.623955431755, Macro_F score: 0.594594594595, Precision: 0.655629139073, Recall: 0.543956043956; Test data size: 359
2015-07-08 19:37:51,001 - logger_manager - INFO - Accuracy: 0.793871866295, Macro_F score: 0.788571428571, Precision: 0.821428571429, Recall: 0.758241758242; Test data size: 359
2015-07-08 19:40:45,400 - logger_manager - INFO - Accuracy: 0.777158774373, Macro_F score: 0.759036144578, Precision: 0.84, Recall: 0.692307692308; Test data size: 359
2015-07-08 19:43:32,299 - logger_manager - INFO - Accuracy: 0.785515320334, Macro_F score: 0.776811594203, Precision: 0.822085889571, Recall: 0.736263736264; Test data size: 359
2015-07-08 19:44:32,474 - logger_manager - INFO - Accuracy: 0.791086350975, Macro_F score: 0.786324786325, Precision: 0.816568047337, Recall: 0.758241758242; Test data size: 359
2015-07-08 19:55:08,409 - logger_manager - INFO - Accuracy: 0.83008356546, Macro_F score: 0.829131652661, Precision: 0.845714285714, Recall: 0.813186813187; Test data size: 359
2015-07-08 20:01:42,178 - logger_manager - INFO - Accuracy: 0.816155988858, Macro_F score: 0.821621621622, Precision: 0.808510638298, Recall: 0.835164835165; Test data size: 359
2015-07-08 20:08:26,435 - logger_manager - INFO - Accuracy: 0.818941504178, Macro_F score: 0.824797843666, Precision: 0.809523809524, Recall: 0.840659340659; Test data size: 359
2015-07-08 20:19:48,291 - logger_manager - INFO - Accuracy: 0.824512534819, Macro_F score: 0.824512534819, Precision: 0.83615819209, Recall: 0.813186813187; Test data size: 359
2015-07-08 20:26:19,475 - logger_manager - INFO - Accuracy: 0.821727019499, Macro_F score: 0.825136612022, Precision: 0.820652173913, Recall: 0.82967032967; Test data size: 359
2015-07-08 20:33:09,471 - logger_manager - INFO - Accuracy: 0.810584958217, Macro_F score: 0.817204301075, Precision: 0.8, Recall: 0.835164835165; Test data size: 359
2015-07-08 20:52:35,239 - logger_manager - INFO - Accuracy: 0.796657381616, Macro_F score: 0.806366047745, Precision: 0.779487179487, Recall: 0.835164835165; Test data size: 359
2015-07-08 20:53:21,602 - logger_manager - INFO - Accuracy: 0.810584958217, Macro_F score: 0.817204301075, Precision: 0.8, Recall: 0.835164835165; Test data size: 359
2015-07-08 20:59:22,772 - logger_manager - INFO - Accuracy: 0.805013927577, Macro_F score: 0.808743169399, Precision: 0.804347826087, Recall: 0.813186813187; Test data size: 359
